code_dept,annee,trimestre,taux_chomage
44,2008,1,5.9
45,2008,1,5.7
46,2008,1,6.1
47,2008,1,6.9
48,2008,1,3.8
49,2008,1,5.9
50,2008,1,6.1
51,2008,1,6.5
52,2008,1,6.7
53,2008,1,4.4
54,2008,1,6.6
55,2008,1,7.4
56,2008,1,6.2
57,2008,1,6.9
58,2008,1,6.8
59,2008,1,9.6
60,2008,1,6.6
61,2008,1,6.4
62,2008,1,9.8
63,2008,1,6.2
64,2008,1,6.1
65,2008,1,7.7
66,2008,1,9.5
67,2008,1,5.8
68,2008,1,6.8
69,2008,1,6.2
70,2008,1,6.2
71,2008,1,6.1
72,2008,1,6.1
73,2008,1,5.2
74,2008,1,4.7
75,2008,1,6.8
76,2008,1,7.5
77,2008,1,5.3
78,2008,1,5.0
79,2008,1,5.0
80,2008,1,8.5
81,2008,1,7.8
82,2008,1,7.4
84,2008,1,8.5
85,2008,1,5.1
86,2008,1,6.0
87,2008,1,6.1
88,2008,1,7.7
89,2008,1,6.3
90,2008,1,7.6
91,2008,1,4.8
92,2008,1,5.6
93,2008,1,9.2
94,2008,1,6.3
95,2008,1,7.0
83,2008,1,8.1
ZA,2008,1,
ZB,2008,1,
ZC,2008,1,
ZD,2008,1,
01,2008,2,4.6
02,2008,2,9.6
03,2008,2,7.1
04,2008,2,8.1
05,2008,2,6.6
06,2008,2,6.5
07,2008,2,7.7
08,2008,2,9.6
09,2008,2,8.2
10,2008,2,7.6
11,2008,2,9.5
12,2008,2,4.8
13,2008,2,9.4
14,2008,2,6.7
15,2008,2,5.1
16,2008,2,7.4
17,2008,2,7.6
18,2008,2,6.7
19,2008,2,4.9
2A,2008,2,6.8
2B,2008,2,7.7
21,2008,2,5.7
22,2008,2,5.8
23,2008,2,6.7
24,2008,2,7.0
25,2008,2,6.6
26,2008,2,7.9
27,2008,2,6.9
28,2008,2,6.1
29,2008,2,6.4
30,2008,2,10.0
31,2008,2,7.4
32,2008,2,5.4
33,2008,2,7.1
34,2008,2,10.2
35,2008,2,5.1
36,2008,2,6.0
37,2008,2,6.1
38,2008,2,6.0
39,2008,2,5.5
40,2008,2,6.3
41,2008,2,6.1
42,2008,2,6.9
43,2008,2,5.9
44,2008,2,5.9
45,2008,2,5.9
46,2008,2,6.5
47,2008,2,7.3
48,2008,2,3.9
49,2008,2,6.1
50,2008,2,6.2
51,2008,2,6.6
52,2008,2,6.9
53,2008,2,4.5
54,2008,2,6.7
55,2008,2,7.6
56,2008,2,6.2
57,2008,2,7.1
58,2008,2,6.9
59,2008,2,9.7
60,2008,2,6.8
61,2008,2,6.6
62,2008,2,10.0
63,2008,2,6.5
64,2008,2,6.2
65,2008,2,7.6
66,2008,2,9.6
67,2008,2,6.1
68,2008,2,6.8
69,2008,2,6.3
70,2008,2,6.4
71,2008,2,6.3
72,2008,2,6.3
73,2008,2,5.4
74,2008,2,4.8
75,2008,2,6.8
76,2008,2,7.8
77,2008,2,5.3
78,2008,2,5.1
79,2008,2,5.2
80,2008,2,8.7
81,2008,2,8.1
82,2008,2,7.7
84,2008,2,8.7
85,2008,2,5.2
86,2008,2,6.2
87,2008,2,6.2
88,2008,2,8.0
89,2008,2,6.5
90,2008,2,7.6
91,2008,2,4.9
92,2008,2,5.7
93,2008,2,9.2
94,2008,2,6.2
95,2008,2,7.0
83,2008,2,8.1
ZA,2008,2,
ZB,2008,2,
ZC,2008,2,
ZD,2008,2,
01,2008,3,4.8
02,2008,3,9.9
03,2008,3,7.3
04,2008,3,8.1
