id,code_dept,election_id,nb_inscrits,nb_abstentions,nb_votants,nb_blancs_nuls
244,29,3,690570,120636,569934,12750
245,30,3,537939,107277,430662,9980
246,31,3,906653,171295,735358,16487
247,32,3,144959,23027,121932,3249
248,33,3,1086968,216588,870380,19565
249,34,3,800342,159318,641024,14180
250,35,3,730142,116720,613422,14087
251,36,3,170409,34911,135498,4564
252,37,3,428871,80171,348700,8795
253,38,3,856508,177674,678834,16327
254,39,3,190332,36524,153808,4239
255,40,3,310197,55411,254786,6795
256,41,3,245321,46325,198996,5258
257,42,3,510806,108835,401971,10604
258,43,3,177158,32875,144283,4709
259,44,3,993538,162601,830937,19480
260,45,3,452607,87974,364633,9061
261,46,3,136305,22305,114000,3215
262,47,3,240931,46805,194126,5304
263,48,3,59508,9949,49559,1412
264,49,3,569425,97038,472387,13431
265,50,3,379104,70202,308902,7924
266,51,3,381693,81261,300432,6663
267,52,3,134148,28769,105379,2939
268,53,3,222325,36392,185933,5701
269,54,3,495091,106595,388496,8830
270,55,3,137634,27855,109779,2734
271,56,3,577012,96113,480899,12064
272,57,3,751271,177501,573770,14544
273,58,3,159426,35468,123958,3544
274,59,3,1804668,417073,1387595,33792
275,60,3,562085,113254,448831,11038
276,61,3,208734,38340,170394,4337
277,62,3,1090368,234194,856174,23022
278,63,3,460939,93325,367614,11037
279,64,3,502378,97357,405021,9368
280,65,3,177498,34243,143255,3714
281,66,3,347914,73984,273930,7143
282,67,3,766548,154353,612195,14409
283,68,3,526189,110395,415794,11884
284,69,3,1155668,249139,906529,18045
285,70,3,179214,34976,144238,4716
286,71,3,406418,86755,319663,9714
287,72,3,405440,73578,331862,9420
288,73,3,310256,62767,247489,5930
289,74,3,540031,116267,423764,10277
290,75,3,1301637,210200,1091437,14880
291,76,3,881658,177294,704364,17838
292,77,3,881558,183302,698256,17363
293,78,3,951148,177485,773663,14737
294,79,3,272404,50961,221443,7045
295,80,3,409014,80489,328525,8889
296,81,3,291194,50507,240687,6930
297,82,3,183350,32631,150719,3918
298,83,3,794777,169107,625670,13232
299,84,3,402134,80585,321549,7504
300,85,3,514461,82887,431574,12745
301,86,3,307014,62127,244887,7139
302,87,3,266322,50620,215702,7288
303,88,3,282612,56393,226219,6717
304,89,3,241918,52739,189179,4626
305,90,3,95340,21608,73732,2158
306,91,3,795227,157440,637787,14305
307,92,3,986730,176715,810015,15257
308,93,3,766302,210699,555603,14726
309,94,3,785540,164068,621472,13685
310,95,3,730497,167560,562937,13778
311,ZA,3,316345,189694,126651,14158
312,ZB,3,310812,186855,123957,14477
313,ZC,3,92035,60110,31925,5091
314,ZD,3,639481,264229,375252,24773
315,ZM,3,83045,46872,36173,2704
316,ZN,3,189483,98257,91226,4280
317,ZP,3,203936,124515,79421,3792
318,ZS,3,4966,2238,2728,96
319,ZW,3,8464,3053,5411,63
320,ZX,3,25385,17202,8183,318
321,01,4,415952,93135,322817,37589
322,02,4,375791,90745,285046,31905
323,03,4,253481,59297,194184,27418
324,04,4,126458,29254,97204,13395
325,05,4,109889,24892,84997,11369
326,06,4,761772,198486,563286,59579
