id,departement_code,sexe_id,tranche_age_id,annee,population
480,ZD,3,5,2018,24830
481,ZA,2,1,2019,48288
482,ZA,2,2,2019,33304
483,ZA,2,3,2019,49589
484,ZA,2,4,2019,31605
485,ZA,2,5,2019,12940
486,ZB,2,1,2019,41542
487,ZB,2,2,2019,31243
488,ZB,2,3,2019,48205
489,ZB,2,4,2019,31688
490,ZB,2,5,2019,14267
491,ZC,2,1,2019,59163
492,ZC,2,2,2019,36312
493,ZC,2,3,2019,29332
494,ZC,2,4,2019,10142
495,ZC,2,5,2019,2311
496,ZD,2,1,2019,132263
497,ZD,2,2,2019,96442
498,ZD,2,3,2019,114002
499,ZD,2,4,2019,52266
500,ZD,2,5,2019,16420
501,ZA,3,1,2019,47431
502,ZA,3,2,2019,40871
503,ZA,3,3,2019,63365
504,ZA,3,4,2019,36964
505,ZA,3,5,2019,19882
506,ZB,3,1,2019,40603
507,ZB,3,2,2019,37831
508,ZB,3,3,2019,60709
509,ZB,3,4,2019,36952
510,ZB,3,5,2019,21468
511,ZC,3,1,2019,59005
512,ZC,3,2,2019,41476
513,ZC,3,3,2019,30579
514,ZC,3,4,2019,10159
515,ZC,3,5,2019,3199
516,ZD,3,1,2019,128684
517,ZD,3,2,2019,111382
518,ZD,3,3,2019,125475
519,ZD,3,4,2019,58325
520,ZD,3,5,2019,25951
521,ZA,2,1,2020,47684
522,ZA,2,2,2020,32485
523,ZA,2,3,2020,48518
524,ZA,2,4,2020,33089
525,ZA,2,5,2020,13502
526,ZB,2,1,2020,40061
527,ZB,2,2,2020,31061
528,ZB,2,3,2020,46753
529,ZB,2,4,2020,32628
530,ZB,2,5,2020,14595
531,ZC,2,1,2020,59634
532,ZC,2,2,2020,36652
533,ZC,2,3,2020,29178
534,ZC,2,4,2020,10490
535,ZC,2,5,2020,2512
536,ZD,2,1,2020,130967
537,ZD,2,2,2020,94821
538,ZD,2,3,2020,113761
539,ZD,2,4,2020,55146
540,ZD,2,5,2020,17322
541,ZA,3,1,2020,46015
542,ZA,3,2,2020,40816
543,ZA,3,3,2020,62782
544,ZA,3,4,2020,38364
545,ZA,3,5,2020,20304
546,ZB,3,1,2020,39533
547,ZB,3,2,2020,37612
548,ZB,3,3,2020,59307
549,ZB,3,4,2020,38056
550,ZB,3,5,2020,21619
551,ZC,3,1,2020,59353
552,ZC,3,2,2020,41916
553,ZC,3,3,2020,31406
554,ZC,3,4,2020,10583
555,ZC,3,5,2020,3409
556,ZD,3,1,2020,126834
557,ZD,3,2,2020,111233
558,ZD,3,3,2020,125594
559,ZD,3,4,2020,60596
560,ZD,3,5,2020,26809
561,ZA,2,1,2021,47401
562,ZA,2,2,2021,32559
563,ZA,2,3,2021,47841
564,ZA,2,4,2021,33847
565,ZA,2,5,2021,14140
566,ZB,2,1,2021,39493
567,ZB,2,2,2021,31070
568,ZB,2,3,2021,45638
569,ZB,2,4,2021,33687
570,ZB,2,5,2021,15031
571,ZC,2,1,2021,59449
572,ZC,2,2,2021,36609
573,ZC,2,3,2021,29924
574,ZC,2,4,2021,10875
575,ZC,2,5,2021,2608
576,ZD,2,1,2021,131225
577,ZD,2,2,2021,94570
578,ZD,2,3,2021,113967
579,ZD,2,4,2021,57419
580,ZD,2,5,2021,17957
581,ZA,3,1,2021,45243
582,ZA,3,2,2021,41021
583,ZA,3,3,2021,62254
584,ZA,3,4,2021,39190
585,ZA,3,5,2021,20819
586,ZB,3,1,2021,38175
587,ZB,3,2,2021,38112
588,ZB,3,3,2021,58114
589,ZB,3,4,2021,39497
590,ZB,3,5,2021,21932
591,ZC,3,1,2021,58918
592,ZC,3,2,2021,41984
593,ZC,3,3,2021,31757
594,ZC,3,4,2021,11037
595,ZC,3,5,2021,3457
596,ZD,3,1,2021,126760
597,ZD,3,2,2021,111394
598,ZD,3,3,2021,126655
599,ZD,3,4,2021,63631
600,ZD,3,5,2021,27579
601,ZA,2,1,2022,46354
602,ZA,2,2,2022,32527
603,ZA,2,3,2022,46770
604,ZA,2,4,2022,34547
605,ZA,2,5,2022,14516
606,ZB,2,1,2022,38808
607,ZB,2,2,2022,30414
608,ZB,2,3,2022,44231
609,ZB,2,4,2022,34568
610,ZB,2,5,2022,15031
611,ZC,2,1,2022,60077
612,ZC,2,2,2022,36653
613,ZC,2,3,2022,29977
614,ZC,2,4,2022,11124
615,ZC,2,5,2022,2797
616,ZD,2,1,2022,130736
617,ZD,2,2,2022,93994
618,ZD,2,3,2022,113422
619,ZD,2,4,2022,60145
620,ZD,2,5,2022,19049
621,ZA,3,1,2022,44128
