code_dept,annee,population_totale,pct_hommes,pct_femmes,pct_jeunes,pct_seniors,indice_vieillissement,tour,pct_abstentions,pct_blancs_nuls,DF,EELV,LFI,LO,LR,LREM,MoDem,NPA,PCF,PS,RN,Reconquête,Résistons !,SP,UPR,taux_chomage,taux_pour_mille,croissance_total_entreprises,solde_commercial,pct_immigration,taux_epargne,prix_consommation,pre_depenses
02,2022,525282,0.4887983978129843,0.5112016021870157,0.460619248327565,0.2831031712489672,0.6146129534619189,1,37.10300783615643,2.420583215576884,2.13,2.6,15.11,0.75,4.01,21.55,0.0,0.78,2.19,1.09,38.3,6.7,2.37,0.0,0.0,10.35,47.351084,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
02,2022,525282,0.4887983978129843,0.5112016021870157,0.460619248327565,0.2831031712489672,0.6146129534619189,2,35.53886002844124,7.313100385988333,0.0,0.0,0.0,0.0,0.0,37.16,0.0,0.0,0.0,0.0,55.53,0.0,0.0,0.0,0.0,10.35,47.351084,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
03,2012,342911,0.48006625625891264,0.5199337437410874,0.40947359518942233,0.3132912038400635,0.7651053509073877,1,21.452165547441105,2.397528067523186,1.93,1.53,13.25,0.7,23.45,0.0,8.44,1.22,0.0,28.97,17.88,0.0,0.0,0.22,0.0,9.825,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
03,2012,342911,0.48006625625891264,0.5199337437410874,0.40947359518942233,0.3132912038400635,0.7651053509073877,2,21.35109789136654,7.0685637421139385,0.0,0.0,0.0,0.0,40.07,0.0,0.0,0.0,0.0,52.87,0.0,0.0,0.0,0.0,0.0,9.825,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
03,2017,337988,0.4788779483295265,0.5211220516704735,0.39466194066061516,0.33980792217475175,0.8610079314920142,1,27.23446682933428,3.404997269388593,4.92,0.0,19.2,0.77,18.29,22.92,0.0,1.17,0.0,5.33,21.58,0.0,1.5,0.18,0.74,9.700000000000001,37.035032799999996,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
03,2017,337988,0.4788779483295265,0.5211220516704735,0.39466194066061516,0.33980792217475175,0.8610079314920142,2,30.536501462530385,14.11959790713962,0.0,0.0,0.0,0.0,0.0,54.88,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,9.700000000000001,37.035032799999996,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
03,2022,334177,0.4805986049309198,0.5194013950690801,0.38847975773317733,0.3589235644583559,0.9239159400138877,1,30.547693400315413,2.8925188256551118,2.2,3.12,16.2,0.71,5.39,25.96,0.0,0.78,4.24,1.71,26.27,6.46,4.06,0.0,0.0,7.625,39.979491100000004,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
03,2022,334177,0.4805986049309198,0.5194013950690801,0.38847975773317733,0.3589235644583559,0.9239159400138877,2,33.20720730323007,10.784308500716786,0.0,0.0,0.0,0.0,0.0,46.71,0.0,0.0,0.0,0.0,42.51,0.0,0.0,0.0,0.0,7.625,39.979491100000004,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
04,2012,161241,0.4847712430461235,0.5152287569538765,0.4198994052381218,0.29741815047041387,0.7083064144740482,1,20.441403706547195,2.051526253899455,1.79,2.85,14.84,0.47,24.94,0.0,7.27,1.35,0.0,23.86,20.29,0.0,0.0,0.28,0.0,10.575,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
04,2012,161241,0.4847712430461235,0.5152287569538765,0.4198994052381218,0.29741815047041387,0.7083064144740482,2,19.611704849344957,6.409476641468995,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,47.79,0.0,0.0,0.0,0.0,0.0,10.575,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
04,2017,163915,0.4870634170149163,0.5129365829850837,0.40375194460543573,0.324430344995882,0.8035367898379762,1,23.786611901618503,2.4859420077257837,4.75,0.0,21.95,0.51,18.04,19.52,0.0,1.15,0.0,4.87,23.92,0.0,1.68,0.2,0.91,10.7,44.0820109,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
04,2017,163915,0.4870634170149163,0.5129365829850837,0.40375194460543573,0.324430344995882,0.8035367898379762,2,30.09546932225011,13.780297107114933,0.0,0.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.0,35.82,0.0,0.0,0.0,0.0,10.7,44.0820109,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
04,2022,166660,0.48419536781471256,0.5158046321852874,0.3918696747869915,0.34678387135485417,0.884944686262515,1,29.650250544110946,2.1278534190413523,2.53,4.01,22.12,0.51,3.88,21.06,0.0,0.88,2.75,1.41,26.33,8.02,4.36,0.0,0.0,8.225,48.4486707,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
04,2022,166660,0.48419536781471256,0.5158046321852874,0.3918696747869915,0.34678387135485417,0.884944686262515,2,33.17770614536758,10.785068108557763,0.0,0.0,0.0,0.0,0.0,43.32,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,8.225,48.4486707,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
05,2012,139554,0.48665749458990787,0.5133425054100922,0.43617524399157315,0.2767172564025395,0.634416156804463,1,20.589264153285413,2.0785610309301616,2.01,3.55,13.74,0.55,25.56,0.0,9.66,1.3,0.0,23.98,17.33,0.0,0.0,0.24,0.0,8.575,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
05,2012,139554,0.48665749458990787,0.5133425054100922,0.43617524399157315,0.2767172564025395,0.634416156804463,2,19.540294166992897,6.738996700408255,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,47.46,0.0,0.0,0.0,0.0,0.0,8.575,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
05,2017,141284,0.4891070467993545,0.5108929532006455,0.4196299651765239,0.30529996319470004,0.7275439339093367,1,23.371798037851065,2.4235008867835575,5.54,0.0,21.1,0.46,18.68,21.27,0.0,1.18,0.0,5.73,20.74,0.0,1.81,0.19,0.88,8.675,42.605243099999996,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
05,2017,141284,0.4891070467993545,0.5108929532006455,0.4196299651765239,0.30529996319470004,0.7275439339093367,2,29.28573949668812,13.375766203513065,0.0,0.0,0.0,0.0,0.0,55.54,0.0,0.0,0.0,0.0,31.08,0.0,0.0,0.0,0.0,8.675,42.605243099999996,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
05,2022,141188,0.48621695894835254,0.5137830410516474,0.3924625322265348,0.3421678896223475,0.8718463284503183,1,28.761824822485877,2.1857489621378825,2.43,5.69,22.37,0.49,5.12,23.26,0.0,0.91,2.18,1.65,22.34,6.99,4.39,0.0,0.0,6.75,45.1296592,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
05,2022,141188,0.48621695894835254,0.5137830410516474,0.3924625322265348,0.3421678896223475,0.8718463284503183,2,31.649737952785124,11.113816613329623,0.0,0.0,0.0,0.0,0.0,48.95,0.0,0.0,0.0,0.0,39.94,0.0,0.0,0.0,0.0,6.75,45.1296592,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
