id,election_id,candidat_id,code_dept,nb_voix
529,1,5,ZM,299
530,1,5,ZN,874
531,1,5,ZP,532
532,1,5,ZS,103
533,1,5,ZW,42
534,1,5,ZX,85
535,1,5,ZZ,2843
536,1,6,01,1794
537,1,6,02,2490
538,1,6,03,1482
539,1,6,04,487
540,1,6,05,488
541,1,6,06,1576
542,1,6,07,1257
543,1,6,08,1185
544,1,6,09,528
545,1,6,10,990
546,1,6,11,1116
547,1,6,12,969
548,1,6,13,3641
549,1,6,14,2641
550,1,6,15,587
551,1,6,16,1460
552,1,6,17,2161
553,1,6,18,1387
554,1,6,19,659
555,1,6,2A,220
556,1,6,2B,282
557,1,6,21,1631
558,1,6,22,2552
559,1,6,23,557
560,1,6,24,1480
561,1,6,25,1882
562,1,6,26,2057
563,1,6,27,2189
564,1,6,28,1587
565,1,6,29,3347
566,1,6,30,1946
567,1,6,31,2839
568,1,6,32,646
569,1,6,33,3671
570,1,6,34,2397
571,1,6,35,3876
572,1,6,36,1190
573,1,6,37,2272
574,1,6,38,3450
575,1,6,39,1084
576,1,6,40,1161
577,1,6,41,1384
578,1,6,42,2503
579,1,6,43,1067
580,1,6,44,4458
581,1,6,45,2007
582,1,6,46,623
583,1,6,47,974
584,1,6,48,263
585,1,6,49,3426
586,1,6,50,2206
587,1,6,51,1949
588,1,6,52,860
589,1,6,53,1415
590,1,6,54,2582
591,1,6,55,789
592,1,6,56,2818
593,1,6,57,4350
594,1,6,58,934
595,1,6,59,9545
596,1,6,60,3391
597,1,6,61,1294
598,1,6,62,7246
599,1,6,63,2372
600,1,6,64,1826
601,1,6,65,780
602,1,6,66,1305
603,1,6,67,3779
604,1,6,68,2608
605,1,6,69,4220
606,1,6,70,1126
607,1,6,71,2048
608,1,6,72,2452
609,1,6,73,1213
610,1,6,74,1793
611,1,6,75,2719
612,1,6,76,4918
613,1,6,77,2995
614,1,6,78,2505
615,1,6,79,1612
616,1,6,80,2917
617,1,6,81,1212
618,1,6,82,698
619,1,6,83,2094
620,1,6,84,1207
621,1,6,85,2584
622,1,6,86,1741
623,1,6,87,1435
624,1,6,88,1716
625,1,6,89,1324
626,1,6,90,523
627,1,6,91,2462
628,1,6,92,2187
629,1,6,93,2708
630,1,6,94,2217
631,1,6,95,2340
632,1,6,ZA,1335
633,1,6,ZB,1442
634,1,6,ZC,208
635,1,6,ZD,2190
636,1,6,ZM,192
637,1,6,ZN,485
638,1,6,ZP,510
639,1,6,ZS,23
640,1,6,ZW,48
641,1,6,ZX,44
642,1,6,ZZ,1137
643,1,7,01,860
644,1,7,02,738
645,1,7,03,457
646,1,7,04,283
647,1,7,05,212
648,1,7,06,1238
649,1,7,07,521
650,1,7,08,366
651,1,7,09,221
652,1,7,10,407
653,1,7,11,458
654,1,7,12,435
655,1,7,13,2249
656,1,7,14,1008
657,1,7,15,240
658,1,7,16,523
659,1,7,17,888
660,1,7,18,433
661,1,7,19,277
662,1,7,2A,163
663,1,7,2B,174
664,1,7,21,694
665,1,7,22,909
666,1,7,23,195
667,1,7,24,610
668,1,7,25,750
669,1,7,26,759
670,1,7,27,890
671,1,7,28,622
672,1,7,29,1531
